1.0	1.0	1.0	3.0
3.0	1.0	1.0	1.0
1.0	1.0	2.0	nan
3.0	3.0	3.0	3.0
nan	3.0	4.0	3.0
nan	1.0	4.0	3.0
2.0	3.0	3.0	3.0
4.0	1.0	4.0	3.0
4.0	1.0	4.0	3.0
2.0	1.0	4.0	0.0
3.0	3.0	3.0	4.0
nan	0.0	2.0	3.0
1.0	3.0	1.0	0.0
nan	nan	4.0	3.0
nan	1.0	4.0	3.0
nan	nan	0.0	3.0
nan	1.0	4.0	3.0
2.0	1.0	4.0	3.0
3.0	1.0	4.0	4.0
3.0	3.0	1.0	1.0
0.0	1.0	3.0	3.0
3.0	2.0	4.0	1.0
3.0	1.0	3.0	3.0
1.0	3.0	3.0	3.0
nan	0.0	0.0	1.0
0.0	0.0	0.0	1.0
3.0	nan	3.0	3.0
0.0	1.0	0.0	1.0
nan	2.0	0.0	1.0
2.0	3.0	4.0	3.0
0.0	0.0	3.0	1.0
3.0	nan	1.0	3.0
2.0	3.0	4.0	3.0
0.0	1.0	4.0	3.0
1.0	1.0	4.0	3.0
3.0	1.0	4.0	4.0
0.0	1.0	4.0	3.0
0.0	0.0	1.0	1.0
1.0	1.0	3.0	3.0
3.0	nan	4.0	1.0
3.0	nan	1.0	1.0
2.0	0.0	1.0	1.0
3.0	3.0	3.0	3.0
3.0	1.0	4.0	3.0
1.0	0.0	1.0	3.0
4.0	1.0	4.0	3.0
0.0	1.0	1.0	1.0
1.0	1.0	0.0	1.0
nan	nan	1.0	3.0
3.0	1.0	3.0	1.0
2.0	1.0	4.0	3.0
nan	nan	0.0	3.0
3.0	0.0	3.0	3.0
nan	nan	0.0	1.0
1.0	0.0	0.0	1.0
3.0	nan	2.0	3.0
1.0	0.0	0.0	1.0
3.0	1.0	3.0	3.0
2.0	3.0	3.0	3.0
3.0	nan	2.0	3.0
0.0	0.0	0.0	1.0
3.0	nan	0.0	3.0
nan	nan	1.0	3.0
3.0	3.0	3.0	3.0
0.0	0.0	0.0	1.0
2.0	nan	4.0	3.0
nan	nan	3.0	2.0
nan	nan	4.0	4.0
2.0	3.0	4.0	3.0
1.0	1.0	4.0	3.0
0.0	0.0	0.0	1.0
nan	0.0	0.0	1.0
nan	nan	2.0	3.0
1.0	2.0	1.0	1.0
2.0	0.0	3.0	1.0
3.0	nan	1.0	3.0
0.0	0.0	0.0	1.0
0.0	1.0	1.0	0.0
0.0	3.0	1.0	3.0
3.0	1.0	0.0	3.0
2.0	0.0	0.0	3.0
1.0	0.0	2.0	3.0
0.0	0.0	0.0	1.0
1.0	nan	1.0	3.0
nan	nan	3.0	3.0
nan	nan	3.0	3.0
nan	nan	0.0	1.0
nan	0.0	0.0	1.0
2.0	1.0	3.0	1.0
3.0	2.0	3.0	4.0
nan	3.0	3.0	3.0
2.0	0.0	0.0	1.0
3.0	3.0	4.0	1.0
0.0	0.0	1.0	1.0
nan	3.0	1.0	3.0
3.0	1.0	1.0	3.0
3.0	nan	1.0	3.0
3.0	3.0	3.0	3.0
3.0	3.0	3.0	3.0
